"name","email","phone","company"
"Leanne Graham","Sincere@april.biz","1-770-736-8031 x56442","{""bs"":""harness real-time e-markets"",""name"":""Romaguera-Crona"",""catchPhrase"":""Multi-layered client-server neural-net""}"
"Ervin Howell","Shanna@melissa.tv","010-692-6593 x09125","{""bs"":""synergize scalable supply-chains"",""name"":""Deckow-Crist"",""catchPhrase"":""Proactive didactic contingency""}"
"Clementine Bauch","Nathan@yesenia.net","1-463-123-4447","{""bs"":""e-enable strategic applications"",""name"":""Romaguera-Jacobson"",""catchPhrase"":""Face to face bifurcated interface""}"
"Patricia Lebsack","Julianne.OConner@kory.org","493-170-9623 x156","{""bs"":""transition cutting-edge web services"",""name"":""Robel-Corkery"",""catchPhrase"":""Multi-tiered zero tolerance productivity""}"
"Chelsey Dietrich","Lucio_Hettinger@annie.ca","(254)954-1289","{""bs"":""revolutionize end-to-end systems"",""name"":""Keebler LLC"",""catchPhrase"":""User-centric fault-tolerant solution""}"
"Mrs. Dennis Schulist","Karley_Dach@jasper.info","1-477-935-8478 x6430","{""bs"":""e-enable innovative applications"",""name"":""Considine-Lockman"",""catchPhrase"":""Synchronised bottom-line interface""}"
"Kurtis Weissnat","Telly.Hoeger@billy.biz","210.067.6132","{""bs"":""generate enterprise e-tailers"",""name"":""Johns Group"",""catchPhrase"":""Configurable multimedia task-force""}"
"Nicholas Runolfsdottir V","Sherwood@rosamond.me","586.493.6943 x140","{""bs"":""e-enable extensible e-tailers"",""name"":""Abernathy Group"",""catchPhrase"":""Implemented secondary concept""}"
"Glenna Reichert","Chaim_McDermott@dana.io","(775)976-6794 x41206","{""bs"":""aggregate real-time technologies"",""name"":""Yost and Sons"",""catchPhrase"":""Switchable contextually-based project""}"
"Clementina DuBuque","Rey.Padberg@karina.biz","024-648-3804","{""bs"":""target end-to-end models"",""name"":""Hoeger LLC"",""catchPhrase"":""Centralized empowering task-force""}"
